City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,lemvig,56.5486,8.3102,22.89,68,54,4.81,DK,2023-07-14
294,bucerias,20.75,-105.3333,29.99,94,75,1.54,MX,2023-07-14
295,puerto francisco de orellana,-0.4667,-76.9667,26.03,89,75,1.54,EC,2023-07-14
296,lautoka,-17.6167,177.4667,21.92,78,100,3.09,FJ,2023-07-14
297,robore,-18.3333,-59.75,13.05,82,40,2.57,BO,2023-07-14
298,neftcala,39.3742,49.2472,26.58,53,0,3.89,AZ,2023-07-14
299,as sulayyil,20.4607,45.5779,43.14,6,100,5.61,SA,2023-07-14
300,altagracia de orituco,9.8601,-66.3814,29.28,61,27,2.7,VE,2023-07-14
301,sitka,57.0531,-135.33,13.94,88,20,0.0,US,2023-07-14
302,popondetta,-8.7537,148.2534,23.09,83,58,0.83,PG,2023-07-14
303,howrah,22.5892,88.3103,31.0,79,40,3.09,IN,2023-07-14
304,koraput,18.8167,82.7167,24.8,80,91,2.9,IN,2023-07-14
305,kununurra,-15.7667,128.7333,17.99,82,32,0.0,AU,2023-07-14
306,mar del plata,-38.0023,-57.5575,8.3,72,40,3.6,AR,2023-07-14
307,menzelinsk,55.7271,53.1026,20.69,52,91,4.33,RU,2023-07-14
308,victorica,-36.2151,-65.4359,8.27,56,100,7.19,AR,2023-07-14
309,novopetrovskoye,55.9928,36.4719,14.6,88,100,1.99,RU,2023-07-14
310,korla,41.7597,86.1469,34.14,15,10,4.22,CN,2023-07-14
311,lan krabue,16.6,99.8489,26.96,73,50,3.34,TH,2023-07-14
312,alaghsas,17.0187,8.0168,40.07,16,55,4.25,NE,2023-07-14
313,guichon,-32.35,-57.2,10.09,61,33,1.18,UY,2023-07-14
314,fauske,67.2588,15.3918,15.99,85,99,3.17,NO,2023-07-14
315,boguchany,58.3814,97.4531,14.39,52,97,1.96,RU,2023-07-14
316,kiuruvesi,63.65,26.6167,20.4,64,100,1.37,FI,2023-07-14
317,yeraliyev,43.2,51.65,28.28,39,0,5.38,KZ,2023-07-14
318,nova vicosa,-17.8919,-39.3719,26.42,62,0,3.69,BR,2023-07-14
319,tsumeb,-19.2333,17.7167,23.23,18,2,4.48,NA,2023-07-14
320,porto novo,6.4965,2.6036,28.82,67,91,3.78,BJ,2023-07-14
321,port augusta,-32.5,137.7667,11.88,45,100,5.26,AU,2023-07-14
322,fortuna,40.5982,-124.1573,13.7,98,100,1.54,US,2023-07-14
323,impfondo,1.6381,18.0667,28.08,65,93,1.78,CG,2023-07-14
324,aitape,-3.1374,142.3475,25.76,90,100,0.89,PG,2023-07-14
325,glace bay,46.1969,-59.957,20.25,94,100,1.34,CA,2023-07-14
326,mandal,25.45,74.5667,29.5,69,98,2.68,IN,2023-07-14
327,oodweyne,9.4092,45.064,28.13,41,92,10.7,SO,2023-07-14
328,fale old settlement,-9.3852,-171.2468,27.92,78,100,4.88,TK,2023-07-14
329,kabalo,-6.05,26.9167,33.34,26,7,3.1,CD,2023-07-14
330,miguel auza,24.2933,-103.4503,23.92,31,19,1.93,MX,2023-07-14
331,krutaya gorka,55.3649,73.2231,20.82,40,50,5.18,RU,2023-07-14
332,dunedin,-45.8742,170.5036,9.89,68,43,2.54,NZ,2023-07-14
333,yulinshi,38.2906,109.7494,23.11,40,8,3.53,CN,2023-07-14
334,reo,12.3167,-2.4667,35.24,36,96,4.68,BF,2023-07-14
335,akhisar,38.9185,27.8401,40.84,17,0,6.69,TR,2023-07-14
336,kudahuvadhoo,2.6708,72.8944,28.1,73,4,0.06,MV,2023-07-14
337,inhambane,-23.865,35.3833,19.74,62,100,3.62,MZ,2023-07-14
338,kristinehamn,59.3098,14.1081,22.31,53,19,6.94,SE,2023-07-14
339,peace river,56.2501,-117.286,17.17,67,0,1.03,CA,2023-07-14
340,togur,58.3631,82.8265,15.18,62,70,6.42,RU,2023-07-14
341,simpang,-1.2667,104.0833,23.74,96,80,1.36,ID,2023-07-14
342,kapa'a,22.0752,-159.319,26.18,78,75,5.14,US,2023-07-14
343,panjab,34.388,67.0233,18.02,27,1,7.37,AF,2023-07-14
344,ambalangoda,6.2355,80.0538,26.66,86,13,3.66,LK,2023-07-14
